year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1989,10,20,15.62,15.6,35.78,-4.61,3.3,26.74,1.14,12.3,28.13
1991,6,5,21.71,33.3,40.85,9.18,4.4,27.38,2.29,28.9,23.7
1991,8,1,26.43,27.2,40.53,15.03,22.8,26.83,4.84,4.4,20.26
1992,5,7,18.54,16.1,39.61,2.48,8.3,25.13,2.79,7.8,27.76
1992,5,8,16.57,16.1,40.71,2.68,8.3,26.05,1.69,7.8,26.85
1992,5,24,20.25,38.9,41.06,5.32,8.9,27.16,1.5,30,27.33
1992,7,12,24.54,44.4,41.76,14.87,22.2,26.57,3.29,22.2,21.57
1992,8,8,26.2,30.6,39.93,12.9,30,28.54,3.93,0.6,20.76
1992,8,12,24.87,35,40.95,14.82,26.7,26.6,3.11,8.3,21.29
1993,6,11,23.5,39.4,40.41,10.49,14.4,26.66,2.97,25,23.79
1993,6,27,23.94,31.1,41.27,13.45,12.8,26.8,2.7,18.3,22.27
1994,8,26,24,31.7,40.17,11.28,9.4,28.22,2.61,22.3,22.06
1994,10,12,16.3,16.1,36.49,-1.81,11.1,25.51,1.93,5,27.17
1995,8,25,25.2,27.8,39.15,12.36,25,27.48,3.24,2.8,21.27
1995,9,24,18.99,17.8,40.08,5.04,12.2,27.17,1.65,5.6,25.18
1996,10,19,14.78,34.4,36.31,-4.4,2.2,26.86,-0.74,32.2,29.37
1997,1,22,-2.23,23.9,35.92,-16.3,22.2,22.13,-2.03,1.7,29.89
1997,4,14,11.58,10.6,38.25,-4.16,6.7,24.45,1.29,3.9,28.24
1997,6,6,22.23,20.6,40.45,10.38,11.7,26.17,2.94,8.9,23.2
1997,6,7,22.51,20.6,40.72,11.21,11.7,25.6,2.22,8.9,24.2
1997,6,9,23,26.7,41.12,10.49,8.3,26.45,3.96,18.4,23.22
1997,6,10,22.54,26.7,41.55,9.65,9.4,26.97,3.15,17.3,24.32
1997,7,4,24.67,43.3,41.35,13.99,19.4,26.64,3.46,23.9,21.93
1997,7,13,26.07,33.3,40.36,14.6,13.3,26.37,5.22,20,20.23
1997,7,31,25.78,27.2,41.29,14.96,13.9,26.91,4.79,13.3,20.41
1997,8,1,26.43,26.7,40.53,15.03,13.3,26.83,4.84,13.4,20.26
1997,8,13,25.67,34.4,39.93,14.65,15,26.93,4.64,19.4,19.38
1997,9,5,23.65,26.7,39.68,11.14,4.4,27.64,2.01,22.3,22.53
1997,9,6,21.9,12.8,40.53,11.75,5.6,27.22,3.57,7.2,19.87
1997,9,7,23.45,30.6,39.57,11.3,7.8,26.95,2.98,22.8,21.79
1997,9,8,24.41,32.2,38.98,11.15,11.1,26.97,3.6,21.1,21.67
1997,10,21,13.41,12.2,36.95,-5.64,2.2,26.16,0.09,10,29.74
1998,4,28,14.64,27.8,39.09,-0.96,-5,24.4,2.97,32.8,27.33
